destination,traveler_type,duration_days,budget_pkr,accommodation,interests,season,recommended_activities,satisfaction_score
Paris,Solo,5,150000,Hotel,Culture,Spring,museum;eiffel_tower;cafe,5
Istanbul,Couple,4,80000,Airbnb,History,Summer,bosphorus;bazaar;hammam,5
Dubai,Family,7,300000,Resort,Shopping,Winter,desert_safari;mall;burj,5
Lahore,Solo,3,20000,Hostel,History,Winter,badshahi;food_street;walled_city,4
Bali,Couple,8,200000,Airbnb,Nature,Summer,temple;rice_field;beach,5
Bangkok,Solo,6,90000,Hostel,Food,Winter,street_food;temple;market,4
London,Family,7,400000,Hotel,Culture,Summer,museum;palace;theater,4
New York,Couple,5,350000,Hotel,Culture,Fall,broadway;museum;central_park,5
Tokyo,Solo,7,180000,Hostel,Food,Spring,sushi;anime;temple;cherry_blossom,5
Maldives,Couple,5,500000,Resort,Nature,Winter,snorkeling;beach;sunset,5
Rome,Family,5,200000,Hotel,History,Spring,colosseum;vatican;pizza,5
Barcelona,Solo,4,120000,Hostel,Culture,Summer,gaudi;beach;tapas,4
Singapore,Family,4,250000,Hotel,Shopping,Winter,gardens;sentosa;hawker,5
Karachi,Solo,2,15000,Hostel,Food,Winter,clifton;biryani;sea_view,3
Islamabad,Family,3,25000,Hotel,Nature,Fall,faisal_mosque;margalla;daman,4
Cairo,Couple,5,100000,Hotel,History,Winter,pyramids;nile;museum,4
Phuket,Couple,6,150000,Airbnb,Beach,Winter,beach;snorkeling;thai_food,5
Amsterdam,Solo,4,180000,Hostel,Culture,Summer,museum;canal;tulip,4
Kyoto,Couple,5,200000,Hotel,History,Spring,temple;geisha;cherry_blossom,5
Cappadocia,Couple,4,130000,Hotel,Adventure,Fall,hot_air_balloon;cave;hike,5
Paris,Couple,7,250000,Hotel,Culture,Summer,louvre;versailles;seine,5
Istanbul,Family,5,120000,Hotel,History,Spring,hagia_sophia;palace;ferry,4
Dubai,Solo,3,100000,Hotel,Shopping,Winter,shopping;beach;gold_souk,4
Lahore,Family,4,35000,Hotel,History,Winter,fort;shahi_qila;food,5
Bali,Solo,10,150000,Airbnb,Nature,Summer,surf;yoga;rice_terrace,4
Bangkok,Family,5,120000,Hotel,Culture,Winter,temple;royal_palace;market,4
London,Solo,5,280000,Hostel,History,Summer,tower;museum;pub,4
New York,Solo,4,250000,Hotel,Food,Fall,pizza;deli;rooftop,4
Tokyo,Couple,6,220000,Hotel,Culture,Spring,shibuya;asakusa;ramen,5
Maldives,Family,7,800000,Resort,Nature,Winter,beach;water_villa;diving,5
Rome,Solo,4,130000,Hostel,History,Spring,forum;colosseum;gelato,5
Barcelona,Couple,5,180000,Hotel,Culture,Summer,sagrada_familia;park_guell;wine,5
Singapore,Solo,3,150000,Hotel,Shopping,Winter,marina_bay;orchard;food,4
Karachi,Family,3,30000,Hotel,Culture,Winter,mohatta;sea_view;haleem,3
Islamabad,Solo,2,18000,Hostel,Nature,Fall,trail;lake;bhara_kahu,4
Cairo,Solo,4,80000,Hostel,History,Winter,sphinx;khan_el_khalili;felucca,4
Phuket,Family,7,220000,Hotel,Beach,Winter,beach;elephant;phi_phi,5
Amsterdam,Couple,5,220000,Hotel,Culture,Spring,van_gogh;canal_cruise;cheese,5
Kyoto,Family,6,280000,Hotel,Culture,Fall,bamboo;arashiyama;nishiki,5
Cappadocia,Solo,3,100000,Hotel,Adventure,Fall,hike;hot_spring;cave_restaurant,4
Hunza,Solo,5,40000,Hostel,Nature,Summer,attabad;rakaposhi;cherry_blossom,5
Hunza,Couple,6,70000,Hotel,Nature,Summer,passu;khunjerab;glacier,5
Swat,Family,4,35000,Hotel,Nature,Summer,kalam;miandam;waterfalls,4
Murree,Family,2,25000,Hotel,Nature,Winter,snow;chairlift;nathiagali,4
Skardu,Solo,7,55000,Hostel,Adventure,Summer,k2_base_camp;shangrila;deosai,5
Skardu,Couple,5,80000,Hotel,Adventure,Summer,upper_kachura;sadpara;cold_desert,5
Naran,Family,3,30000,Hotel,Nature,Summer,babusar;saif_ul_malook;lulusar,5
Kumrat,Solo,4,25000,Camping,Adventure,Summer,waterfall;forest;trout_fishing,5
Chitral,Couple,5,50000,Hotel,Culture,Summer,shandur;kalash;tirich_mir,5
Gilgit,Solo,4,35000,Hostel,Adventure,Summer,naltar;kargah;gilgit_river,4
Paris,Solo,3,100000,Hostel,Food,Fall,patisserie;wine_bar;marais,4
Istanbul,Solo,3,60000,Hostel,Food,Fall,baklava;kebab;bazaar,5
Dubai,Couple,5,200000,Hotel,Adventure,Winter,skydiving;dune_bash;yacht,5
Bangkok,Couple,4,100000,Hotel,Shopping,Winter,chatuchak;sukhumvit;rooftop,4
Tokyo,Family,8,350000,Hotel,Culture,Fall,disneyland;teamlab;sumo,5
London,Couple,6,320000,Hotel,Culture,Fall,west_end;tate;borough_market,5
Barcelona,Family,6,220000,Hotel,Beach,Summer,beach;park;aquarium,4
Rome,Couple,6,230000,Hotel,Food,Spring,trastevere;campo;osteria,5
Singapore,Couple,4,200000,Hotel,Food,Winter,chinatown;little_india;hawker,5
Lahore,Couple,3,30000,Hotel,Food,Winter,gawalmandi;cooco;cuckoo,5
